From,To,Difference,Maximum seats,Minimum seats
Amsterdam Holendrecht,Amsterdam Bijlmer ArenA,7395.0,265667.0,258272.0
Abcoude,Amsterdam Holendrecht,7395.0,265667.0,258272.0
Maarssen,Breukelen,7084.0,253897.0,246813.0
Venray,Vierlingsbeek,7020.0,15255.0,8235.0
Vierlingsbeek,Boxmeer,7020.0,15255.0,8235.0
Boxmeer,Cuijk,7020.0,15255.0,8235.0
Mook-Molenhoek,Nijmegen Heyendaal,7020.0,15255.0,8235.0
Cuijk,Mook-Molenhoek,7020.0,15255.0,8235.0
Nijmegen Heyendaal,Nijmegen,7020.0,15255.0,8235.0
Uithuizen,Usquert,6840.0,10530.0,3690.0
Roodeschool,Uithuizermeeden,6840.0,10530.0,3690.0
Winsum,Sauwerd,6840.0,10530.0,3690.0
Uithuizermeeden,Uithuizen,6840.0,10530.0,3690.0
Baflo,Winsum,6840.0,10530.0,3690.0
Usquert,Warffum,6840.0,10530.0,3690.0
Warffum,Baflo,6840.0,10530.0,3690.0
Woerden,Breukelen,6696.0,39852.0,33156.0
Amsterdam Bijlmer ArenA,Duivendrecht,6575.0,174767.0,168192.0
Amsterdam Amstel,Amsterdam Muiderpoort,6575.0,174767.0,168192.0
Duivendrecht,Amsterdam Amstel,6575.0,174767.0,168192.0
Hardenberg,Mariënberg,6560.0,12200.0,5640.0
Delfzijl West,Appingedam,6120.0,9630.0,3510.0
Delfzijl,Delfzijl West,6120.0,9630.0,3510.0
Bedum,Sauwerd,6120.0,9630.0,3510.0
Appingedam,Loppersum,6120.0,9630.0,3510.0
Stedum,Bedum,6120.0,9630.0,3510.0
Loppersum,Stedum,6120.0,9630.0,3510.0
Voorst-Empe,Klarenbeek,5445.0,10305.0,4860.0
Klarenbeek,Apeldoorn De Maten,5445.0,10305.0,4860.0
Apeldoorn De Maten,Apeldoorn,5445.0,10305.0,4860.0
Zutphen,Voorst-Empe,5445.0,10305.0,4860.0
Maastricht,Maastricht Randwyck,5412.0,23262.0,17850.0
Hengelo Oost,Hengelo,5330.0,11700.0,6370.0
Oldenzaal,Hengelo Oost,5330.0,11700.0,6370.0
Beesd,Leerdam,5265.0,10125.0,4860.0
Varsseveld,Terborg,5265.0,12330.0,7065.0
Winterswijk,Aalten,5265.0,12330.0,7065.0
Aalten,Varsseveld,5265.0,12330.0,7065.0
Arkel,Gorinchem,5265.0,10125.0,4860.0
Geldermalsen,Beesd,5265.0,10125.0,4860.0
Leerdam,Arkel,5265.0,10125.0,4860.0
Blerick,Venray,5085.0,13320.0,8235.0
Goor,Lochem,5070.0,11310.0,6240.0
Lochem,Zutphen,5070.0,11310.0,6240.0
Hengelo,Hengelo Gezondheidspark,4940.0,11310.0,6370.0
Hengelo Gezondheidspark,Delden,4940.0,11310.0,6370.0
Delden,Goor,4940.0,11310.0,6370.0
Terborg,Gaanderen,4590.0,12330.0,7740.0
Gaanderen,Doetinchem,4590.0,12330.0,7740.0
Klimmen-Ransdaal,Schin op Geul,4500.0,16878.0,12378.0
Schin op Geul,Valkenburg,4500.0,16878.0,12378.0
Maastricht Noord,Maastricht,4500.0,16878.0,12378.0
Heerlen Woonboulevard,Voerendaal,4500.0,16878.0,12378.0
Heerlen,Heerlen Woonboulevard,4500.0,16878.0,12378.0
Houthem-St. Gerlach,Meerssen,4500.0,16878.0,12378.0
Voerendaal,Klimmen-Ransdaal,4500.0,16878.0,12378.0
Valkenburg,Houthem-St. Gerlach,4500.0,16878.0,12378.0
Meerssen,Maastricht Noord,4500.0,16878.0,12378.0
Landgraaf,Heerlen,4464.0,17229.0,12765.0
Swalmen,Reuver,4140.0,12195.0,8055.0
Reuver,Tegelen,4140.0,12195.0,8055.0
Roermond,Swalmen,4140.0,12195.0,8055.0
Tegelen,Venlo,4140.0,12195.0,8055.0
Eemshaven,Roodeschool,3960.0,5040.0,1080.0
Westervoort,Arnhem Velperpoort,3645.0,12330.0,8685.0
Didam,Zevenaar,3645.0,12330.0,8685.0
Doetinchem De Huet,Wehl,3645.0,12330.0,8685.0
Wehl,Didam,3645.0,12330.0,8685.0
Duiven,Westervoort,3645.0,12330.0,8685.0
Zevenaar,Duiven,3645.0,12330.0,8685.0
Doetinchem,Doetinchem De Huet,3645.0,12330.0,8685.0
Hemmen-Dodewaard,Opheusden,3510.0,6210.0,2700.0
Elst,Zetten-Andelst,3510.0,6210.0,2700.0
Kesteren,Tiel,3510.0,6210.0,2700.0
Zetten-Andelst,Hemmen-Dodewaard,3510.0,6210.0,2700.0
Opheusden,Kesteren,3510.0,6210.0,2700.0
Etten-Leur,Breda,3200.0,42600.0,39400.0
Roosendaal,Etten-Leur,3200.0,42600.0,39400.0
Lunteren,Barneveld Zuid,3078.0,14706.0,11628.0
Ede-Wageningen,Ede Centrum,3078.0,14706.0,11628.0
Ede Centrum,Lunteren,3078.0,14706.0,11628.0
Chevremont,Kerkrade Centrum,2625.0,6840.0,4215.0
Eygelshoven,Chevremont,2625.0,6840.0,4215.0
Landgraaf,Eygelshoven,2625.0,6840.0,4215.0
Aachen Hbf,Aachen West,2052.0,10602.0,8550.0
Herzogenrath,Eygelshoven Markt,2052.0,10602.0,8550.0
Aachen West,Herzogenrath,2052.0,10602.0,8550.0
Eygelshoven Markt,Landgraaf,2052.0,10602.0,8550.0
Daarlerveen,Vriezenveen,1560.0,3900.0,2340.0
Vriezenveen,Almelo,1560.0,3900.0,2340.0
Mariënberg,Vroomshoop,1560.0,3900.0,2340.0
Vroomshoop,Daarlerveen,1560.0,3900.0,2340.0
Winterswijk West,Lichtenvoorde-Groenlo,1350.0,8370.0,7020.0
Winterswijk,Winterswijk West,1350.0,8370.0,7020.0
Vorden,Zutphen,1350.0,8370.0,7020.0
Ruurlo,Vorden,1350.0,8370.0,7020.0
Lichtenvoorde-Groenlo,Ruurlo,1350.0,8370.0,7020.0
Zwolle,Dalfsen,1035.0,4725.0,3690.0
Ommen,Mariënberg,1035.0,4725.0,3690.0
Gramsbergen,Coevorden,1035.0,4725.0,3690.0
Dalfsen,Ommen,1035.0,4725.0,3690.0
Emmen Zuid,Emmen,1035.0,4725.0,3690.0
Hardenberg,Gramsbergen,1035.0,4725.0,3690.0
Coevorden,Dalen,1035.0,4725.0,3690.0
Eijsden,Visé,855.0,6156.0,5301.0
Bressoux,Liège-Guillemins,855.0,6156.0,5301.0
Maastricht Randwyck,Eijsden,855.0,6156.0,5301.0
Visé,Bressoux,855.0,6156.0,5301.0
Kropswolde,Martenshoek,405.0,15120.0,14715.0
Hoogezand-Sappemeer,Zuidbroek,405.0,15120.0,14715.0
Groningen Europapark,Kropswolde,405.0,15120.0,14715.0
Martenshoek,Hoogezand-Sappemeer,405.0,15120.0,14715.0
Stavoren,Koudum-Molkwerum,306.0,7578.0,7272.0
Koudum-Molkwerum,Hindeloopen,306.0,7578.0,7272.0
Workum,IJlst,306.0,7578.0,7272.0
Hindeloopen,Workum,306.0,7578.0,7272.0
IJlst,Sneek,306.0,7578.0,7272.0
Zuidbroek,Veendam,270.0,5490.0,5220.0
's-Hertogenbosch,Eindhoven Centraal,200.0,1612.0,1412.0
Mantgum,Leeuwarden,153.0,12717.0,12564.0
Sneek Noord,Mantgum,153.0,12717.0,12564.0
Sneek,Sneek Noord,153.0,12717.0,12564.0
Zuidbroek,Scheemda,135.0,9630.0,9495.0
Scheemda,Winschoten,135.0,9630.0,9495.0
Winschoten,Bad Nieuweschans,90.0,5355.0,5265.0
Dalen,Coevorden,45.0,6930.0,6885.0
Emmen,Emmen Zuid,45.0,6930.0,6885.0
Coevorden,Gramsbergen,45.0,8820.0,8775.0
Gramsbergen,Hardenberg,45.0,8820.0,8775.0
